Age,Gender,Weight (kg),Height (m),Max_BPM,Avg_BPM,Resting_BPM,Session_Duration (hours),Calories_Burned,Workout_Type,Fat_Percentage,Water_Intake (liters),Workout_Frequency (days/week),Experience_Level,BMI,Daily meals frequency,Physical exercise,Carbs,Proteins,Fats,Calories,meal_name,meal_type,diet_type,sugar_g,sodium_mg,cholesterol_mg,serving_size_g,cooking_method,prep_time_min,cook_time_min,rating,is_healthy,Name of Exercise,Sets,Reps,Benefit,Burns Calories (per 30 min),Target Muscle Group,Equipment Needed,Difficulty Level,Body Part,Type of Muscle,Workout
56.0,Male,88.3,1.71,180.0,157.0,60.0,1.69,1313.0,Yoga,12.6,3.5,4.0,3.0,30.2,3.0,0.0,285.188,114.075,76.05,2281.502,Kid Pasta,Lunch,Keto,42.9,2079,91,206,Grilled,47,56,4.4,0,Push-ups,3.0,15.0,Builds upper body strength,200.0,"Chest, Triceps, Shoulders",Pull-up Bar,Intermediate,Chest,Upper Chest,Incline dumbbell press
46.0,Female,74.9,1.53,179.0,151.0,66.0,1.3,883.0,HIIT,33.9,2.1,4.0,2.0,32.0,3.0,4.0,302.872,121.149,80.766,2422.978,Husband Rice,Lunch,Paleo,38.6,423,7,317,Roasted,51,34,2.4,0,Squats,4.0,12.0,Strengthens lower body,223.0,"Quadriceps, Hamstrings, Glutes",Pull-up Bar,Beginner,Chest,Upper Chest,Incline cable crossovers
32.0,Female,68.1,1.66,167.0,122.0,54.0,1.11,677.0,Cardio,33.4,2.3,4.0,2.0,24.71,2.0,0.0,247.875,99.15,66.1,1983.0,Activity Rice,Snack,Paleo,37.5,2383,209,395,Boiled,58,29,4.3,0,Lunges,3.0,10.0,Improves balance and coordination,275.0,"Quadriceps, Hamstrings, Glutes",Pull-up Bar,Beginner,Chest,Upper Chest,Incline dumbbell flyes
25.0,Male,53.2,1.7,190.0,164.0,56.0,0.59,532.0,Strength,28.8,2.1,3.0,1.0,18.41,3.0,0.0,309.75,123.9,82.6,2478.0,Another Salad,Snack,Keto,41.7,846,107,499,Grilled,14,81,4.6,0,Burpees,3.0,10.0,Full body workout,355.0,Full Body,Pull-up Bar,Advanced,Chest,Upper Chest,Decline dumbbell press
38.0,Male,46.1,1.79,188.0,158.0,68.0,0.64,556.0,Strength,29.2,2.8,3.0,1.0,14.39,3.0,2.0,324.289,129.716,86.477,2594.313,Quite Stew,Lunch,Vegan,18.2,1460,42,486,Raw,47,105,4.3,0,Mountain Climbers,3.0,20.0,Improves cardiovascular fitness,240.0,"Core, Shoulders, Legs",Pull-up Bar,Intermediate,Chest,Upper Chest,Decline cable crossovers
56.0,Female,58.0,1.68,168.0,156.0,74.0,1.59,1116.0,HIIT,15.5,2.7,5.0,3.0,20.55,2.0,0.0,242.438,96.975,64.65,1939.502,Arm Stew,Dinner,Balanced,1.6,411,162,209,Steamed,56,112,1.6,1,Jumping Jacks,3.0,30.0,Improves coordination and cardiovascular health,295.0,Full Body,Pull-up Bar,Beginner,Chest,Upper Chest,Decline dumbbell flyes
36.0,Male,70.3,1.72,174.0,169.0,73.0,1.49,1385.0,Cardio,21.3,2.3,3.0,2.0,23.76,3.0,0.0,258.562,103.425,68.95,2068.498,Item Rice,Snack,Keto,8.3,1107,60,291,Roasted,41,90,2.8,1,Bicycle Crunches,3.0,20.0,Targets abdominal muscles,210.0,Core,Pull-up Bar,Intermediate,Chest,Upper Chest,Chest flyes
40.0,Female,69.7,1.51,189.0,141.0,64.0,1.27,895.0,Cardio,30.6,1.9,3.0,2.0,30.57,4.0,0.0,245.438,98.175,65.45,1963.502,Thing Rice,Breakfast,Vegan,39.8,257,63,143,Grilled,18,21,1.6,0,Dips,3.0,12.0,Strengthens triceps and chest,180.0,"Triceps, Chest",Parallel Bars or Chair,Intermediate,Chest,Upper Chest,Cable crossovers
28.0,Male,121.7,1.94,185.0,127.0,52.0,1.03,719.0,Strength,28.9,2.6,4.0,2.0,32.34,4.0,0.0,320.062,128.025,85.35,2560.498,Third Soup,Breakfast,Paleo,33.0,515,50,471,Grilled,33,56,4.0,0,Pull-ups,3.0,8.0,Builds upper body strength,250.0,"Back, Biceps",Pull-up Bar,Advanced,Chest,Upper Chest,Dumbbell flyes
28.0,Male,101.8,1.84,169.0,136.0,64.0,1.08,808.0,Cardio,29.7,2.7,3.0,1.0,30.07,3.0,0.0,214.5,85.8,57.2,1716.0,Ask Pasta,Dinner,Balanced,29.4,1110,214,117,Roasted,35,68,5.0,0,Russian Twists,3.0,20.0,Improves core rotation strength,190.0,"Core, Obliques",None or Dumbbell,Intermediate,Back,Deltoids,Pull-ups
